NAME,clase,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,_NormalizedVDWVD1075,_PolarityD1075,_SecondaryStrD3025,_PolarityD3100,_ChargeD1100,_SecondaryStrT23,_PolarityD3025,_NormalizedVDWVC1,_NormalizedVDWVC3,_HydrophobicityT23,_SolventAccessibilityD1025,_PolarityD1100,_NormalizedVDWVD2100,_ChargeD3050,_PolarityD2001,_SolventAccessibilityD2025,_HydrophobicityD3050,_PolarityT12,_PolarityT13,_ChargeT23,_HydrophobicityD2100,_SolventAccessibilityD3001,_ChargeD1075,_SecondaryStrD1075,_PolarizabilityD2050,_SolventAccessibilityD3100,_PolarizabilityD1075,_HydrophobicityD3025,_PolarizabilityD3025,_SecondaryStrD3050,_SolventAccessibilityD2050,_HydrophobicityD2001,_SecondaryStrD2075,_PolarityD3050,_PolarityD1001,_ChargeD2075,_NormalizedVDWVD3025,_SolventAccessibilityD1100,_SecondaryStrD1100,_NormalizedVDWVD1001,_NormalizedVDWVD2050,_NormalizedVDWVC2,_PolarizabilityC2,_PolarizabilityC3,_NormalizedVDWVD3001,_PolarizabilityC1,_SecondaryStrC2,_SecondaryStrC3,_ChargeT12,_ChargeT13,_ChargeD1001,_ChargeD1025,_NormalizedVDWVD2025,_NormalizedVDWVD3050,_SecondaryStrD1025,_SolventAccessibilityD1050,_PolarizabilityD3001,_PolarityD2075,_SecondaryStrD3001,_ChargeD2025,_HydrophobicityD2050,_PolarizabilityD1100,_HydrophobicityC1,_HydrophobicityC2,_SolventAccessibilityD2100,_PolarizabilityD2001,_PolarizabilityD1025,_NormalizedVDWVT13,_PolarizabilityD3050,_SolventAccessibilityT13,_SolventAccessibilityT12,_PolarityD1050,_ChargeD3075,_SolventAccessibilityD1001,_HydrophobicityC3,_HydrophobicityD3100,_SecondaryStrD1050,_ChargeD3001,_SecondaryStrD2050,_PolarityD2025,_NormalizedVDWVD2001,_HydrophobicityD3075,_SecondaryStrD2025,_SolventAccessibilityD2001,_HydrophobicityD1025,_ChargeD1050,_SolventAccessibilityD3025,_PolarizabilityD3075,_PolarityD2100,_SecondaryStrD3100,_PolarizabilityT13,_PolarizabilityT12,_SecondaryStrD2001,_NormalizedVDWVD1050,_PolarizabilityD1050,_SolventAccessibilityT23,_ChargeC3,_ChargeC2,_ChargeC1,_NormalizedVDWVT23,_NormalizedVDWVD3100,_PolarizabilityD2025,_SolventAccessibilityD3075,_HydrophobicityD2075,_HydrophobicityD1075,_ChargeD2050,_ChargeD3100,_SecondaryStrC1,_ChargeD3025,_PolarityD3001,_PolarityD3075,_PolarityD1025,_SecondaryStrT13,_SecondaryStrT12,_HydrophobicityD1001,_SolventAccessibilityD1075,_HydrophobicityD1050,_HydrophobicityT13,_HydrophobicityT12,_SecondaryStrD1001,_NormalizedVDWVD1100,_NormalizedVDWVD3075,_NormalizedVDWVD1025,_SolventAccessibilityD2075,_SecondaryStrD2100,_PolarizabilityD3100,_SecondaryStrD3075,_NormalizedVDWVT12,_PolarizabilityT23,_SolventAccessibilityD3050,_PolarityT23,_PolarityD2050,_HydrophobicityD2025,_PolarizabilityD2075,_HydrophobicityD3001,_HydrophobicityD1100,_ChargeD2001,_SolventAccessibilityC1,_SolventAccessibilityC2,_SolventAccessibilityC3,_PolarizabilityD1001,_NormalizedVDWVD2075,_ChargeD2100,_PolarizabilityD2100,_PolarityC1,_PolarityC3,_PolarityC2
1ihi,1,3,0.97,0.85,3,0.81,0.733333333,3,0.95,0.733333333,20,16.66666667,8,523.8,476.6666667,71.56,74.312,24.465,93.578,93.578,0.163,23.547,0.309,0.263,0.224,22.63,99.388,99.083,43.425,2.446,27.523,51.07,0.172,0.107,0.181,99.388,0.917,75.841,75.535,53.823,99.388,70.642,26.911,23.853,48.93,52.294,1.529,74.618,48.012,0.917,74.618,23.853,98.165,99.083,1.223,53.211,0.394,0.474,0.263,0.917,0.251,0.263,0.269,0.206,0.021,1.835,26.3,29.358,49.847,24.159,48.93,0.917,80.122,1.223,25.076,45.566,98.777,0.336,0.327,99.083,2.446,20.183,0.178,49.847,0.175,0.273,51.988,69.419,2.752,0.324,98.165,49.541,1.223,50.459,29.052,2.446,72.783,25.076,1.223,27.523,49.847,22.936,75.841,99.083,98.777,0.135,0.245,2.141,45.26,44.343,0.175,0.125,0.737,0.125,0.193,99.388,29.664,71.56,71.865,76.758,50.765,99.083,0.456,24.159,1.835,68.807,26.911,0.23,0.245,1.223,74.006,52.294,0.233,0.215,0.917,98.777,75.841,22.018,76.758,99.388,99.388,71.254,0.239,0.252,46.789,0.064,55.657,19.572,74.618,0.917,99.083,0.917,0.425,0.336,0.226,1.223,78.287,99.388,99.083,0.367,0.156,0.214
1j96,1,4,0.92,1,4,0.81,0.746666667,3,0.95,0.746666667,19,16.33333333,5,1029.6,712.3333333,71.56,74.312,22.936,93.578,93.578,0.163,23.547,0.312,0.26,0.224,22.63,99.388,99.083,43.425,2.446,26.3,51.07,0.172,0.107,0.178,99.388,1.529,75.841,75.841,53.823,99.388,70.642,29.358,25.076,48.318,51.682,1.529,74.618,48.012,2.141,74.924,25.076,98.165,99.083,0.917,53.211,0.394,0.474,0.26,1.835,0.254,0.263,0.272,0.206,0.021,1.835,26.3,29.358,49.847,26.3,48.93,1.835,80.122,0.917,25.382,45.566,98.777,0.339,0.327,99.083,2.446,19.572,0.175,49.847,0.175,0.273,51.988,69.419,2.752,0.321,98.165,49.847,0.917,50.459,29.052,2.446,72.783,25.076,0.917,26.3,49.847,25.382,75.841,99.083,98.777,0.132,0.245,2.141,45.26,43.731,0.172,0.128,0.734,0.125,0.193,99.388,29.664,71.56,71.865,76.758,51.07,99.083,0.453,22.324,1.835,68.807,26.911,0.227,0.245,0.917,74.006,51.682,0.23,0.215,1.835,98.777,75.841,21.101,76.758,99.388,99.388,70.948,0.239,0.252,46.789,0.064,55.657,19.572,74.618,2.752,99.083,1.529,0.425,0.339,0.223,0.917,78.287,99.388,99.083,0.364,0.156,0.214
1jsv,1,3,0.9,1,3,0.81,0.646666667,1,1,0.646666667,16,13.66666667,10,444.9,449.8666667,78.146,70.861,31.126,99.007,99.007,0.169,20.53,0.334,0.272,0.252,26.821,99.338,99.338,46.358,1.325,19.205,48.013,0.133,0.133,0.186,98.344,0.993,72.517,71.523,44.702,98.344,74.503,26.49,27.152,58.94,44.04,4.305,69.868,42.384,0.993,74.172,27.152,99.338,99.338,4.305,41.391,0.371,0.444,0.272,0.993,0.272,0.295,0.242,0.206,0.013,2.649,17.219,20.199,52.649,24.172,49.007,0.993,76.159,1.656,27.152,53.642,96.689,0.288,0.348,99.007,1.325,31.126,0.186,52.649,0.199,0.276,49.007,70.199,1.987,0.351,99.338,44.04,1.325,52.98,20.199,1.325,70.861,23.841,1.325,19.205,43.377,30.795,77.815,98.013,98.013,0.146,0.266,1.987,57.285,53.642,0.143,0.109,0.755,0.123,0.219,99.007,21.854,78.808,77.152,74.503,50.662,96.026,0.45,17.55,2.649,79.139,26.49,0.229,0.256,1.325,69.868,44.04,0.219,0.199,0.993,98.013,77.815,32.119,74.503,97.682,99.007,79.47,0.279,0.269,56.291,0.063,44.371,31.788,70.861,0.993,99.007,0.993,0.45,0.288,0.248,4.305,65.894,99.338,99.338,0.384,0.156,0.175
1klk,1,2,0.9,1,1,0.81,0.496666667,2,1,0.496666667,21,17.33333333,7,395.8,356.3333333,71.905,72.381,23.81,98.095,98.095,0.182,29.048,0.324,0.31,0.244,27.143,99.048,99.048,71.905,1.905,29.048,47.619,0.153,0.11,0.177,97.619,1.429,76.667,72.857,43.81,97.619,69.524,24.286,25.714,45.714,54.286,3.81,74.286,51.905,1.429,69.524,25.714,99.048,99.048,3.81,43.81,0.343,0.381,0.31,1.429,0.29,0.305,0.276,0.196,0.043,3.333,19.048,26.19,57.619,28.095,49.524,1.429,75.714,1.905,22.857,47.143,98.571,0.314,0.329,98.571,1.905,23.333,0.254,57.619,0.244,0.278,50.476,85.714,4.286,0.338,99.048,50,16.19,52.381,24.762,1.905,73.333,22.381,1.905,29.048,46.667,20.476,77.619,96.19,98.571,0.225,0.215,4.762,48.095,48.095,0.153,0.114,0.729,0.138,0.196,98.095,26.19,69.524,65.714,78.571,46.19,98.571,0.4,42.381,3.333,77.619,24.286,0.268,0.211,1.905,72.381,54.286,0.244,0.187,1.429,98.571,77.619,23.333,78.571,97.619,98.095,73.81,0.239,0.23,45.714,0.053,40.952,21.905,70,1.429,98.571,1.429,0.4,0.314,0.267,3.81,68.095,99.048,99.048,0.371,0.167,0.152
1LHN,1,2,0.98,0.98,3,0.83,0.73,1,0.86,0.86,20,17,6,577.5,462,76.166,74.093,23.316,97.409,97.409,0.141,25.389,0.42,0.212,0.234,29.016,98.446,96.891,50.777,2.591,31.606,54.404,0.13,0.115,0.203,97.927,2.591,73.575,75.13,53.886,97.927,76.166,29.016,26.425,48.705,51.295,2.591,63.731,52.332,1.554,75.13,26.425,98.446,97.409,2.591,54.404,0.337,0.43,0.212,2.073,0.337,0.223,0.332,0.167,0.021,2.073,33.679,27.979,44.041,33.679,52.85,2.073,63.212,2.591,22.798,45.078,98.964,0.29,0.378,98.964,1.554,22.798,0.156,44.041,0.26,0.286,52.85,61.658,1.554,0.311,98.446,55.959,7.254,35.233,13.99,1.554,75.13,20.725,2.073,31.606,55.959,16.58,70.466,95.337,98.964,0.125,0.286,3.109,47.668,48.187,0.167,0.13,0.746,0.104,0.156,97.409,24.352,71.503,74.611,70.466,47.668,98.964,0.425,27.979,2.073,70.984,29.016,0.26,0.224,2.073,76.166,51.295,0.219,0.234,1.554,98.964,70.466,21.762,70.466,98.446,97.409,76.166,0.271,0.188,36.269,0.052,41.969,19.171,74.093,1.554,98.964,1.554,0.425,0.29,0.264,4.663,68.912,98.446,98.446,0.316,0.135,0.192
1lhu,1,1,0.87,0.44,4,0.84,0.666666667,1,0.86,0.666666667,21,16,4,437.8,470.3666667,76.166,74.093,23.316,97.409,97.409,0.141,25.389,0.42,0.212,0.234,29.016,98.446,96.891,50.777,2.591,31.606,54.404,0.13,0.115,0.203,97.927,2.591,73.575,75.13,53.886,97.927,76.166,29.016,26.425,48.705,51.295,2.591,63.731,52.332,1.554,75.13,26.425,98.446,97.409,2.591,54.404,0.337,0.43,0.212,2.073,0.337,0.223,0.332,0.167,0.021,2.073,33.679,27.979,44.041,33.679,52.85,2.073,63.212,2.591,22.798,45.078,98.964,0.29,0.378,98.964,1.554,22.798,0.156,44.041,0.26,0.286,52.85,61.658,1.554,0.311,98.446,55.959,7.254,35.233,13.99,1.554,75.13,20.725,2.073,31.606,55.959,16.58,70.466,95.337,98.964,0.125,0.286,3.109,47.668,48.187,0.167,0.13,0.746,0.104,0.156,97.409,24.352,71.503,74.611,70.466,47.668,98.964,0.425,27.979,2.073,70.984,29.016,0.26,0.224,2.073,76.166,51.295,0.219,0.234,1.554,98.964,70.466,21.762,70.466,98.446,97.409,76.166,0.271,0.188,36.269,0.052,41.969,19.171,74.093,1.554,98.964,1.554,0.425,0.29,0.264,4.663,68.912,98.446,98.446,0.316,0.135,0.192
1ly3,1,1,0.85,0.85,1,0.81,0.54,2,1,0.54,25,15.66666667,7,573.4,336.3666667,71.905,72.381,23.81,98.095,98.095,0.182,29.048,0.324,0.31,0.244,27.143,99.048,99.048,71.905,1.905,29.048,47.619,0.153,0.11,0.177,97.619,1.429,76.667,72.857,43.81,97.619,69.524,24.286,25.714,45.714,54.286,3.81,74.286,51.905,1.429,69.524,25.714,99.048,99.048,3.81,43.81,0.343,0.381,0.31,1.429,0.29,0.305,0.276,0.196,0.043,3.333,19.048,26.19,57.619,28.095,49.524,1.429,75.714,1.905,22.857,47.143,98.571,0.314,0.329,98.571,1.905,23.333,0.254,57.619,0.244,0.278,50.476,85.714,4.286,0.338,99.048,50,16.19,52.381,24.762,1.905,73.333,22.381,1.905,29.048,46.667,20.476,77.619,96.19,98.571,0.225,0.215,4.762,48.095,48.095,0.153,0.114,0.729,0.138,0.196,98.095,26.19,69.524,65.714,78.571,46.19,98.571,0.4,42.381,3.333,77.619,24.286,0.268,0.211,1.905,72.381,54.286,0.244,0.187,1.429,98.571,77.619,23.333,78.571,97.619,98.095,73.81,0.239,0.23,45.714,0.053,40.952,21.905,70,1.429,98.571,1.429,0.4,0.314,0.267,3.81,68.095,99.048,99.048,0.371,0.167,0.152
1ly4,1,1,0.89,0.89,1,0.81,0.48,2,1,0.48,27,20.33333333,5,837.1,439.4666667,71.905,72.381,23.81,98.095,98.095,0.182,29.048,0.324,0.31,0.244,27.143,99.048,99.048,71.905,1.905,29.048,47.619,0.153,0.11,0.177,97.619,1.429,76.667,72.857,43.81,97.619,69.524,24.286,25.714,45.714,54.286,3.81,74.286,51.905,1.429,69.524,25.714,99.048,99.048,3.81,43.81,0.343,0.381,0.31,1.429,0.29,0.305,0.276,0.196,0.043,3.333,19.048,26.19,57.619,28.095,49.524,1.429,75.714,1.905,22.857,47.143,98.571,0.314,0.329,98.571,1.905,23.333,0.254,57.619,0.244,0.278,50.476,85.714,4.286,0.338,99.048,50,16.19,52.381,24.762,1.905,73.333,22.381,1.905,29.048,46.667,20.476,77.619,96.19,98.571,0.225,0.215,4.762,48.095,48.095,0.153,0.114,0.729,0.138,0.196,98.095,26.19,69.524,65.714,78.571,46.19,98.571,0.4,42.381,3.333,77.619,24.286,0.268,0.211,1.905,72.381,54.286,0.244,0.187,1.429,98.571,77.619,23.333,78.571,97.619,98.095,73.81,0.239,0.23,45.714,0.053,40.952,21.905,70,1.429,98.571,1.429,0.4,0.314,0.267,3.81,68.095,99.048,99.048,0.371,0.167,0.152
1ME4,1,1,0.56,0.323333333,2,0.71,0.57,1,1,0.393333333,25,20.33333333,5,943.1,441.6666667,69.302,76.744,27.907,95.814,95.814,0.196,7.907,0.456,0.163,0.28,19.07,99.535,99.535,44.186,0.93,23.256,52.093,0.131,0.033,0.154,100,0.93,90.698,74.419,52.093,98.14,69.767,22.326,18.14,45.581,40.465,0.465,76.279,49.302,2.326,73.023,18.14,100,98.605,0.465,54.884,0.344,0.419,0.163,3.256,0.419,0.33,0.321,0.061,0.014,3.721,4.651,25.116,42.326,20,50.698,3.256,73.488,0.93,24.651,49.302,100,0.233,0.465,96.744,0.93,25.581,0.173,42.326,0.266,0.22,53.953,73.488,0.465,0.302,99.535,51.163,2.791,51.628,23.721,2.326,74.419,26.047,2.791,23.256,26.977,31.628,78.605,96.744,100,0.154,0.341,2.326,48.372,48.837,0.079,0.102,0.86,0.037,0.112,95.814,24.651,71.163,71.163,79.07,49.767,96.744,0.349,26.512,3.721,84.186,24.651,0.22,0.262,2.791,74.419,40.465,0.14,0.159,0.465,100,78.605,25.581,79.07,99.535,95.814,71.628,0.308,0.136,49.302,0.014,44.186,28.372,76.279,2.326,96.744,0.465,0.507,0.233,0.26,0.465,77.209,100,99.535,0.335,0.056,0.191
1qkt,1,2,0.99,1,3,0.82,0.643333333,1,0.99,0.643333333,28,18,7,2082.8,1064.1,68.254,73.81,17.063,98.81,98.016,0.104,36.905,0.302,0.258,0.259,26.19,98.413,98.413,43.651,1.19,26.984,49.206,0.127,0.108,0.183,99.206,1.587,75.794,78.968,48.016,98.81,71.032,27.381,30.159,43.651,52.778,1.587,65.079,67.857,1.984,75,30.159,99.206,99.206,1.587,50.397,0.421,0.456,0.258,5.556,0.27,0.202,0.238,0.143,0.024,13.492,36.905,28.175,53.571,28.571,47.222,5.556,67.063,1.19,25,46.032,99.206,0.27,0.321,98.016,1.19,17.063,0.187,53.571,0.251,0.231,50,67.46,1.984,0.393,98.413,53.571,4.762,48.81,18.651,1.19,73.413,25,1.19,26.984,58.73,16.667,79.365,95.635,96.825,0.175,0.227,3.968,41.667,46.032,0.163,0.111,0.786,0.087,0.227,98.81,25.397,75,74.206,75.794,50,96.825,0.544,19.841,13.492,84.127,27.381,0.283,0.215,1.19,71.825,52.778,0.195,0.199,1.984,99.206,79.365,15.476,75.794,93.651,98.81,64.683,0.231,0.239,51.587,0.048,42.063,17.063,73.81,1.984,98.016,1.19,0.433,0.27,0.282,1.587,74.603,99.206,98.413,0.413,0.139,0.163
1r39,1,4,0.99,0.97,7,0.83,0.786666667,1,0.98,0.786666667,19,17,7,1452,957.4,78.649,72.162,27.027,93.514,93.514,0.157,20,0.338,0.259,0.22,26.216,98.919,99.189,54.054,2.162,24.054,48.378,0.152,0.117,0.203,99.459,1.081,65.135,73.784,48.378,99.459,78.108,26.486,21.081,53.784,47.568,0.811,69.73,38.919,1.622,73.514,21.081,97.568,99.189,0.811,47.027,0.381,0.438,0.259,1.351,0.292,0.27,0.257,0.165,0.019,3.514,17.568,26.216,43.243,22.973,48.378,1.351,77.568,0.811,25.405,51.351,99.459,0.319,0.341,99.189,1.892,27.297,0.165,43.243,0.217,0.257,48.378,87.568,0.811,0.33,98.919,48.378,2.162,49.459,24.054,1.892,72.162,26.216,2.162,24.054,38.919,20.811,69.459,99.189,99.459,0.144,0.263,4.054,53.784,52.162,0.182,0.138,0.749,0.103,0.206,98.919,26.216,73.784,74.054,75.676,50.811,99.189,0.462,29.459,1.351,63.784,26.486,0.228,0.228,2.162,72.162,47.568,0.236,0.203,1.351,99.459,69.459,27.027,75.676,96.486,98.919,77.568,0.249,0.23,51.351,0.035,54.054,20.541,74.865,1.622,99.189,0.811,0.408,0.319,0.262,0.811,72.973,99.459,99.189,0.37,0.138,0.189
1rdt,1,4,1,1,2,0.82,0.663333333,1,0.99,0.663333333,16,13.33333333,5,1126.9,791.2,68.699,80.081,18.293,97.967,90.244,0.114,28.455,0.341,0.244,0.224,30.081,98.78,98.374,42.276,3.659,19.919,53.252,0.155,0.11,0.212,99.187,1.22,76.016,76.423,46.341,99.187,66.667,30.081,28.862,42.683,47.561,2.439,75.203,52.846,1.22,74.797,28.862,97.154,98.78,2.439,45.528,0.382,0.455,0.244,1.22,0.285,0.228,0.248,0.171,0.033,1.626,26.829,23.171,56.911,26.829,50,1.22,69.919,2.439,25.203,48.374,99.187,0.301,0.341,98.374,3.659,22.358,0.176,56.911,0.188,0.261,53.659,69.919,2.439,0.341,98.78,53.659,4.065,50.407,15.854,3.659,81.301,25.203,1.626,19.919,56.098,18.699,79.675,98.374,97.561,0.155,0.249,5.691,47.967,47.967,0.188,0.13,0.744,0.11,0.176,98.78,21.138,76.423,73.577,71.138,48.78,96.748,0.508,13.415,1.626,76.423,30.081,0.237,0.233,1.626,73.984,47.561,0.229,0.22,1.22,99.187,79.675,21.951,71.138,99.187,98.78,65.854,0.265,0.208,48.78,0.041,32.114,24.39,73.984,1.22,98.374,1.22,0.443,0.301,0.24,2.439,70.732,99.187,98.374,0.358,0.142,0.199
1s3y,1,2,0.86,0.65,2,0.81,0.61,2,1,0.61,19,16.66666667,7,638.5,390.3333333,71.905,72.381,23.81,98.095,98.095,0.182,29.048,0.324,0.31,0.244,27.143,99.048,99.048,71.905,1.905,29.048,47.619,0.153,0.11,0.177,97.619,1.429,76.667,72.857,43.81,97.619,69.524,24.286,25.714,45.714,54.286,3.81,74.286,51.905,1.429,69.524,25.714,99.048,99.048,3.81,43.81,0.343,0.381,0.31,1.429,0.29,0.305,0.276,0.196,0.043,3.333,19.048,26.19,57.619,28.095,49.524,1.429,75.714,1.905,22.857,47.143,98.571,0.314,0.329,98.571,1.905,23.333,0.254,57.619,0.244,0.278,50.476,85.714,4.286,0.338,99.048,50,16.19,52.381,24.762,1.905,73.333,22.381,1.905,29.048,46.667,20.476,77.619,96.19,98.571,0.225,0.215,4.762,48.095,48.095,0.153,0.114,0.729,0.138,0.196,98.095,26.19,69.524,65.714,78.571,46.19,98.571,0.4,42.381,3.333,77.619,24.286,0.268,0.211,1.905,72.381,54.286,0.244,0.187,1.429,98.571,77.619,23.333,78.571,97.619,98.095,73.81,0.239,0.23,45.714,0.053,40.952,21.905,70,1.429,98.571,1.429,0.4,0.314,0.267,3.81,68.095,99.048,99.048,0.371,0.167,0.152
1sqn,1,4,1,0.94,3,0.81,0.736666667,1,0.99,0.736666667,26,19.66666667,10,638,565.4333333,70.566,75.472,15.472,99.245,99.245,0.125,27.547,0.283,0.253,0.265,26.038,98.113,97.736,45.66,2.642,26.792,50.566,0.174,0.106,0.14,98.491,1.509,75.094,78.113,52.453,98.491,70.566,27.925,32.453,35.472,53.585,1.509,70.189,62.642,1.132,73.962,32.453,98.113,99.245,1.509,53.585,0.438,0.494,0.253,1.132,0.238,0.26,0.249,0.167,0.011,13.962,36.226,26.792,49.811,32.453,52.075,1.132,68.302,2.264,24.528,41.132,95.472,0.287,0.302,99.245,2.642,16.226,0.148,49.811,0.246,0.235,49.811,65.283,1.132,0.396,98.113,56.981,3.774,48.302,20,3.396,75.472,26.038,3.396,26.792,62.642,17.736,75.849,96.981,96.981,0.133,0.239,1.132,38.491,38.491,0.163,0.087,0.804,0.094,0.201,99.245,22.642,67.17,73.585,74.717,48.302,90.943,0.475,14.717,12.453,79.623,29.434,0.246,0.258,3.396,76.604,53.585,0.231,0.167,3.396,96.981,75.849,15.472,74.717,98.113,99.245,66.415,0.254,0.223,41.509,0.049,51.321,17.736,74.717,1.132,99.245,1.132,0.423,0.287,0.275,1.509,74.717,98.491,97.736,0.426,0.117,0.204
1sr7,1,4,1,0.93,3,0.81,0.69,1,0.98,0.69,28,19.66666667,10,691.7,622.0666667,70.342,75.665,14.068,99.24,99.24,0.122,26.996,0.285,0.247,0.256,25.475,98.099,97.719,45.247,1.901,26.236,51.711,0.176,0.107,0.141,98.479,1.521,74.905,77.947,52.091,98.479,70.342,28.897,33.84,34.221,53.232,1.141,72.624,62.357,3.422,74.144,33.84,98.099,99.24,1.141,53.232,0.441,0.498,0.247,7.605,0.24,0.251,0.255,0.168,0.011,13.308,35.741,26.236,51.711,31.939,51.711,7.605,68.061,1.141,24.335,40.684,95.437,0.289,0.304,99.24,1.901,15.589,0.137,51.711,0.24,0.237,50.19,65.019,1.141,0.392,98.099,56.654,3.042,49.43,19.392,2.662,76.426,28.897,2.662,26.236,62.357,21.293,75.665,96.958,96.958,0.122,0.24,3.422,38.023,38.023,0.164,0.087,0.802,0.095,0.202,99.24,22.053,73.384,73.384,74.525,48.289,90.875,0.479,14.068,11.787,79.468,29.658,0.248,0.26,2.662,76.426,53.232,0.233,0.168,2.662,96.958,75.665,14.829,74.525,98.099,99.24,66.16,0.256,0.225,44.487,0.05,50.951,17.11,74.525,3.422,99.24,1.141,0.422,0.289,0.274,1.141,74.525,98.479,97.719,0.422,0.118,0.205
1t5z,1,3,1,1,4,0.81,0.67,1,0.98,0.67,28,21,7,1470.5,876.9,76.078,74.51,16.471,98.431,96.471,0.161,36.863,0.267,0.302,0.28,20.392,98.039,99.216,49.804,1.569,25.49,50.98,0.165,0.134,0.15,98.824,1.961,73.725,73.725,51.765,98.824,73.333,26.667,33.333,41.176,51.765,1.961,76.078,61.176,1.176,74.902,33.333,98.039,99.216,1.961,51.373,0.392,0.463,0.302,2.745,0.22,0.29,0.235,0.181,0.016,17.255,42.353,19.216,48.235,24.706,46.667,2.745,71.373,1.961,24.314,45.098,98.824,0.302,0.282,99.216,1.176,21.569,0.177,48.235,0.228,0.248,50.196,67.843,1.176,0.4,98.039,49.412,4.706,52.549,15.686,1.569,74.51,28.627,1.569,25.49,62.353,30.98,73.725,99.216,96.863,0.165,0.205,1.176,45.49,43.922,0.173,0.09,0.784,0.11,0.201,98.431,18.431,79.216,76.078,70.98,48.235,90.588,0.459,15.686,9.02,74.118,27.843,0.201,0.252,1.569,69.804,51.765,0.252,0.169,1.569,98.824,73.725,21.569,70.98,98.824,98.431,71.765,0.217,0.22,48.235,0.043,49.412,22.353,75.294,1.176,99.216,1.176,0.435,0.302,0.247,5.098,75.686,99.216,99.216,0.427,0.141,0.196
1tb7,1,0,0.43,0.43,1,0.81,0.58,1,1,0.58,16,15,10,727.6,577.8666667,75.595,70.536,29.167,96.429,96.429,0.146,21.726,0.318,0.241,0.23,25,98.512,99.107,50,2.381,27.083,47.917,0.143,0.096,0.224,99.405,1.19,76.19,73.512,49.107,99.405,71.726,23.214,22.024,51.19,54.167,0.893,74.405,52.381,1.786,72.024,22.024,98.512,99.107,0.893,48.214,0.42,0.458,0.241,1.488,0.289,0.277,0.247,0.11,0.039,4.464,16.964,25,52.976,24.107,44.643,1.488,78.571,0.893,25.298,41.964,99.405,0.333,0.313,99.107,2.381,25.893,0.14,52.976,0.188,0.251,47.917,79.762,0.893,0.342,98.512,49.107,2.381,46.726,27.083,2.381,69.94,22.024,2.381,27.083,58.333,23.81,76.19,99.107,99.405,0.122,0.278,2.083,46.429,44.048,0.155,0.149,0.756,0.083,0.206,97.321,26.488,73.214,72.321,78.274,47.024,96.726,0.464,21.429,1.488,72.917,23.214,0.224,0.266,2.381,69.94,54.167,0.224,0.182,1.488,99.405,76.19,25.893,78.274,98.512,97.321,78.869,0.275,0.23,45.833,0.072,50.893,23.81,73.214,1.786,99.107,0.893,0.393,0.333,0.262,0.893,69.94,99.405,99.107,0.366,0.134,0.199
1tbb,1,2,0.9,0.706666667,1,0.81,0.563333333,1,1,0.563333333,17,15.33333333,13,465.4,511.6666667,75.595,70.536,29.167,96.429,96.429,0.146,21.726,0.318,0.241,0.23,25,98.512,99.107,50,2.381,27.083,47.917,0.143,0.096,0.224,99.405,1.19,76.19,73.512,49.107,99.405,71.726,23.214,22.024,51.19,54.167,0.893,74.405,52.381,1.786,72.024,22.024,98.512,99.107,0.893,48.214,0.42,0.458,0.241,1.488,0.289,0.277,0.247,0.11,0.039,4.464,16.964,25,52.976,24.107,44.643,1.488,78.571,0.893,25.298,41.964,99.405,0.333,0.313,99.107,2.381,25.893,0.14,52.976,0.188,0.251,47.917,79.762,0.893,0.342,98.512,49.107,2.381,46.726,27.083,2.381,69.94,22.024,2.381,27.083,58.333,23.81,76.19,99.107,99.405,0.122,0.278,2.083,46.429,44.048,0.155,0.149,0.756,0.083,0.206,97.321,26.488,73.214,72.321,78.274,47.024,96.726,0.464,21.429,1.488,72.917,23.214,0.224,0.266,2.381,69.94,54.167,0.224,0.182,1.488,99.405,76.19,25.893,78.274,98.512,97.321,78.869,0.275,0.23,45.833,0.072,50.893,23.81,73.214,1.786,99.107,0.893,0.393,0.333,0.262,0.893,69.94,99.405,99.107,0.366,0.134,0.199
1U2P,1,0,0.55,0.26,2,0.77,0.52,1,0.98,0.423333333,22,19.33333333,6,713.2,506.3666667,74.233,74.847,25.767,97.546,97.546,0.154,19.632,0.429,0.252,0.222,26.38,96.319,98.16,69.939,2.454,23.926,52.147,0.093,0.117,0.198,100,0.613,65.031,67.485,52.761,100,73.006,15.337,19.018,51.534,55.828,1.227,76.074,44.172,0.613,73.006,19.018,98.773,97.546,1.227,53.374,0.301,0.362,0.252,0.613,0.387,0.221,0.288,0.185,0.025,10.429,19.632,24.54,44.172,26.38,49.693,0.613,83.436,1.227,23.313,44.785,100,0.288,0.429,98.16,2.454,26.38,0.216,44.172,0.21,0.296,52.147,82.209,3.067,0.282,96.319,50.92,1.84,41.104,17.178,3.067,69.325,15.337,1.84,23.926,44.172,14.724,69.325,99.387,100,0.191,0.284,4.294,47.239,45.399,0.136,0.135,0.761,0.104,0.179,97.546,20.859,73.62,73.006,76.687,46.626,95.092,0.491,34.356,3.681,66.258,17.791,0.222,0.154,1.84,72.393,55.828,0.191,0.241,0.613,100,69.325,26.38,76.687,93.865,97.546,79.755,0.228,0.21,42.331,0.056,56.442,26.38,76.687,0.613,98.16,0.613,0.466,0.288,0.245,1.227,76.074,100,99.387,0.301,0.166,0.147
